code,name
6543,J-日宣
3478,R-森トラストホテル
1485,MXS J積極投資
3975,AOI TYO HD
1486,上場米債ヘッジなし
3974,J-TBCSCAT
6541,M-グレイス
3970,M-イノベーション
3968,J-セグエ
7192,J-日本モーゲージS
6538,M-キャリアインデ
3475,J-グッドコムA
2065,日本株配当貴族ETN
3550,M-スタジオアタオ
3267,M-フィルカンパニー
1438,岐阜造園
6535,M-アイモバイル
7190,マーキュリア
1480,企業価値ETF
3965,J-CAP
6534,DACHD
3963,M-シンクロ・フード
3961,M-シルバーエッグ
3962,M-チェンジ
3547,M-串カツ田中
3473,R-さくら総合リート
6532,M-ベイカレント
3546,ダイユーリックHD
3544,サツドラHD
1483,iS設備人材
3471,R-三井不ロジパーク
3470,R-マリモリート
3469,J-デュアルタップ
2066,東証リートETN
1484,DIAM設備人材投資
1482,iS米国債七十円へジ
6197,ソラスト
3543,コメダ
3542,M-VEGA
6193,M-バーチャレクス
2452,P-CMIND
7187,M-ジェイリース
3540,P-Ciメディカル
3541,M-農業総合研究所
1478,iSMSCI高配当
1477,iSMSCI最小分散
1475,iSTOPIX
7778,P-アドメテック
1571,日経インバETF
1357,日経ダブルインバース
1403,大生産業
1697,大豆ETF
1695,小麦ETF
1694,ニッケルETF
1693,銅ETF
1692,アルミETF
1690,原油ETF
1689,ガスETF
1687,アグリETF
1685,エナジーETF
1684,商品ETF
1676,キンゾクETF
1675,パラジETF
1674,プラチナETF
3039,P-碧
3539,ジャパンミート
3468,R-スターアジア
6070,キャリアリンク
3504,丸八ホールディングス
6192,M-HyAS&Co.
1598,RNFI ETF
1472,J400ダブルインバ
1471,J400インバ
1470,J400レバ
8227,しまむら
2296,伊藤ハム米久HD
6191,M-エボラブルアジア
3922,M-PRTIMES
1469,400ベア2倍
1468,JPX日経400ベア
8276,平和堂
3287,R-星野
3934,M-ベネフィットJ
3538,J-ウイルプラスHD
1678,インドNIF
1560,ブルサKLCI
1559,タイSET50
1546,NYダウ30投信
3290,R-SIAリート
3933,J-チエル
9466,M-アイドマMC
6190,M-PXB
6189,M-グローバルG
3467,J-アグレ都市d
8984,R-ハウスレジ
3537,J-昭栄薬品
7184,富山第一銀行
6188,J-富士ソフトSB
9632,スバル興
4813,M-ACCESS
3159,丸善CHI
6187,M-LITALICO
9636,きんえい
3071,M-ストリーム
9425,J-日本テレホン
7850,J-総合商研
6898,J-トミタ電機
7831,ウイルコHD
3843,M-FB
3248,M-アールエイシ
2159,M-FS
6091,ウエスコHD
7623,J-サンオータス
9692,シーイーシー
4026,神島化学工業
2923,サトウ食品
7533,グリーンクロス
2679,K-GOLD
2751,J-テンポス
8842,楽天地
6757,J-OSGコーポ
1766,東建コーポ
1840,土屋HD
9444,J-トーシン
1542,純銀信託
1541,純プラ信
4627,J-ナトコ
3421,稲葉製作
3172,ティーライフ
5971,J-共和工業
3758,J-アエリア
8917,ファースト住建
7811,中本パックス
1398,SMAM Jリート
6593,J-ローヤル電機
2695,くら
1383,J-ベルグアース
3931,M-バリューゴルフ
2910,ロックフィルド
6387,サムコ
3211,太陽毛絲紡績
2198,アイ・ケイ・ケイ
7052,信貴造船所
6309,巴工業
1773,YTL
9637,オーエス
4358,TYO
3816,J-大和コン
1459,楽天225ダブルベア
4219,プラス・テク
3309,R-積水ハウスリート
6179,P-WBFリゾート沖
8957,R-東急RE
1633,不動産
1631,銀行・17
1630,小売
1628,運輸物流
1627,電力ガス
1625,電機精密
1624,機械
1623,鉄鋼非鉄
1622,自動車
1621,医薬品
1620,素材化学
3246,J-コーセーRE
1619,建設資材
1618,エネ資源
1615,銀行
1312,RN小型コア投信
1311,TOPIX30
9627,アインHD
2391,J-プラネット
7488,ヤガミ
8968,R-福岡
6336,石井表記
1319,F-300投信
1612,ETF・銀行
1320,ETF・225
1356,TPダブルインバース
4707,J-キタック
7986,J-日本アイエスケイ
6778,アルチザ
3456,P-TSON
2030,iVIX短
2029,iVIX中
2028,i畜産物
2027,iソフト
2026,i穀物
2025,iアグリ
2024,iエネルギー
1328,金連動投信
1325,ボベスパ
1309,上証50連動投信
4699,J-ウチダエスコ
4669,J-ニッパンR
7531,J-清和中央
5184,ニチリン
3298,R-インベスコ
1563,マザーズコア
1551,JASDAQ20
8147,J-トミタ
9621,建設技研
7726,黒田精工
3083,J-シーズメン
6669,J-シーシーエス
6238,フリュー
3675,M-クロスマーケ
2492,インフォマート
3919,パイプドHD
4641,アルプス技
2586,M-フルッタフルッタ
3548,バロック
2144,J-やまねメディカル
9664,御園座
6464,ツバキ・ナカシマ
2703,J-日本ライトン
1844,大盛工
2160,M-GNI
9994,やまや
1841,J-サンユー建設
2777,J-カッシーナ
8011,三陽商
2673,J-夢みつけ隊
8113,ユニチャーム
5187,クリエート
7494,コナカ
7264,J-MURO
2179,J-成学社
6592,マブチモーター
2874,ヨコレイ
2154,トラスト・テック
8123,J-川辺
6800,ヨコオ
4578,大塚HD
1884,日道路
7984,コクヨ
6620,宮越HD
6013,タクマ
4620,藤倉化
2916,J-仙波糖化
5269,日コンクリ
4631,DIC
9797,大日本コン
9702,アイエスビー
9672,都競馬
9639,J-三協フロンテ
9539,京葉瓦斯
9470,学研HD
9362,兵機海運
8912,エリアクエスト
8885,J-ラ・アトレ
8795,T&DHD
8570,イオンFS
8336,武蔵野銀
9605,東映
8107,キムラタン
8093,極東貿易
7958,天馬
7825,ダンロップス
7781,J-平山
7762,シチズンHD
7305,新家工
7291,日プラスト
7183,M-あんしん保証
6926,OKAYA
6863,J-ニレコ
6789,ローランドDG
6728,アルバック
6619,WSCOPE
6463,TPR
6433,J-ヒーハイスト
6428,オーイズミ
6340,渋谷工
6314,J-石井工研
7182,ゆうちょ銀行
6178,日本郵政
6033,M-エクストリーム
5915,駒井ハルテク
5304,SECカーボン
4748,J-構造計画
7922,J-三光産業
4667,J-アイサンテクノロ
4633,サカタインクス
4594,M-グリーンペプタイ
4585,M-UMN
4574,大幸薬品
4365,J-松本油脂
4248,竹本容器
2884,M-ヨシムラフードH
4224,ロンシール工
4047,関電化
3865,北越紀州
3747,インタートレード
3734,M-インテアHD
3708,特種東海
3694,オプティム
7827,J-オービス
3672,オルトプラス
3355,クリヤマHD
3150,J-グリムス
3088,マツモトキヨシ
2911,旭松食品
2790,J-ナフコ
2587,サントリーBF
2499,日本和装
1617,食品
2311,J-エプコ
2286,林兼産
2212,山崎パン
2162,J-nms
1827,ナカノフドー
4848,フルキャストHD
9408,J-新潟放送
7927,J-ムトー精工
7425,J-初穂商事
5997,J-協立エアテク
4347,J-ブロードメディア
3944,古林紙工
6637,J-寺崎電気
4234,J-サンエー化研
2498,J-ACKG
1954,日工営
9850,グルメ杵屋
9726,KNTCT
7878,J-光彩工芸
9707,J-ユニマットRC
9468,カドカワ
9441,J-ベルパーク
9386,J-日本コンセプト
8594,中道リース
8191,J-光製作所
7814,J-日本創発G
7271,安永
6890,J-フェローテック
6661,J-OPTEX FA
6411,J-中野冷機
6254,J-野村マイクロ
6054,リブセンス
5957,日東精工
4819,J-Dガレージ
4245,ダイキアクシス
3913,M-sMedio
3679,M-じげん
3302,帝繊維
3288,オープンハウス
3241,ウィル
3238,セントラル総
3187,M-サンワカンパニー
3135,M-マーケットエンタ
2580,コカ・コーラEJ
2181,テンプHD
1999,サイタHD
1718,J-美樹工業
9713,ロイヤルホテル
4997,日農薬
9373,ニッコウトラベ
8995,誠建設
8089,すてきN
8072,J-日出版貿
7217,J-テイン
6834,J-精工技研
1568,TPレバレッジダブル
6824,J-新コスモス
6633,J-C&GSYS
6424,J-高見サイ
6378,木村化工
6342,太平製作所
4764,J-デジタルデザイン
3825,M-REMIX
3600,フジックス
3445,RSTECH
3394,NVC
3359,M-タイセイ
2608,ボーソー油
2196,エスクリ
9964,J-アイテック
5721,エス・サイエンス
4845,フュージョン
3911,M-Aiming
2427,アウトソシング
6531,M-リファインバース
2323,J-fonfun
5941,中西製作所
3346,21LADY
3047,Q-トラックワン
2694,J-Gテイスト
3096,J-オーシャン
6817,スミダ
3663,アートスパーク
3444,J-菊池製作所
3976,M-シャノン
1408,J-サムシングHD
5277,J-スパンクリート
6376,日機装
4772,J-デジタルアドベ
3914,M-JIG-SAW
3416,M-ピクスタ
6616,トレックスセミ
6407,CKD
1824,前田建
4274,J-細谷火工
3089,J-テクノアルファ
1795,J-マサル
1963,日揮
4613,関ペイント
9942,ジョイフル
6031,M-サイジニア
9384,内外トランスライン
2763,J-エフティグループ
9908,J-日本電計
7966,リンテック
4624,イサム塗料
4619,日特塗料
4119,日ピグメン
3853,M-インフォテリ
1810,松井建
6326,クボタ
9701,東京会館
9012,J-秩父鉄道
8007,高島
7721,東京計器
7567,J-栄電子
7255,J-桜井製作
6989,北電工業
6846,中央製
6517,デンヨー
6365,電業社
6131,浜井産
5121,藤倉ゴム
4671,ファルコHD
1879,新日本建
8145,中部水
9854,愛眼
9674,花月園
9633,テアトル
9610,J-ウィルソンWLW
9407,RKB毎日HD
9308,乾汽船
9052,山陽電鉄
8835,太平洋発
8600,トモニHD
8515,アイフル
8215,J-銀座山形
8105,堀田丸正
8041,OUG HD
7999,MUTOH-HD
7952,河合楽器
7812,J-クレステック
7734,理計器
7711,J-助川電気
7602,カーチスHD
7523,J-アールビバン
7254,ユニバンス
7169,J-ニュートンFC
6918,J-アバール
6870,日本フェンオール
6815,ユニデンHD
4595,J-ミズホメディー
6704,岩崎通
6440,JUKI
3474,M-G-FAC
2820,J-やまみ
6393,油研工
6383,ダイフク
6380,オリチエン工業
6358,酒井重
6357,三精テクノロジーズ
6351,鶴見製
6141,DMG森精機
6140,旭ダイヤ
6125,岡本工機
6090,M-HMT
6065,サクセスHD
5935,J-元旦
5302,日カーボン
4588,M-オンコリスバイオ
4221,大倉工
4097,高圧ガス
4093,邦アセチレン
4028,石原産
3950,ザ・パック
3928,M-マイネット
3880,大王紙
6316,丸山製
3847,J-パシフィックS
3798,J-ULSグループ
3690,M-ロックオン
3628,M-データHR
3578,倉庫精練
3515,J-フジコー
3435,サンコーテクノ
1663,K&Oエナジー
3306,日製麻
3293,J-アズマハウス
3133,M-海帆
2924,イフジ産業
3524,日東網
2501,サッポロHD
2156,J-セーラー広告
1975,朝日工
1866,北野建
1808,長谷工
1782,J-常磐開発
1491,中外鉱
1414,ショーボンド
7228,J-デイトナ
6666,J-リバーエレテク
6310,井関農
6258,J-平田機工
2708,J-久世
9631,東急レク
2917,J-大森屋
2055,日和産業
9695,J-鴨グランド
9540,中部瓦斯
9363,大運
8148,上原成商事
7746,J-岡本硝子
6904,J-原田工業
6626,J-SEMITEC
6414,J-川重冷熱
6294,オカダアイヨン
6286,J-靜甲
1439,J-安江工務店
6134,富士機
8023,大興電通
5753,日伸銅
4979,OATアグリオ
4406,新日本理化
3794,NDソフトウェア
3712,情報企画
3261,M-グラン
2146,J-UT GROUP
3329,J-東和フード
1860,戸田建
9791,ビケンテクノ
3283,R-プロロジ
8596,九州リースサービス
8424,芙蓉リース
7877,J-永大化工
7456,松田産
8881,日神不
7235,東ラヂエタ
3773,M-AMI
6791,コロムビア
6462,リケン
7888,J-三光合成
7990,グローブライド
6397,郷鉄工所
5964,洋刃物
5945,J-天龍製鋸
3937,M-AWSHD
6459,大和冷機
4240,J-クラスターT
7901,J-マツモト
4571,M-ナノキャリア
3710,J-ジョルダン
8014,蝶理
3583,オーベクス
3189,J-ANAP
3443,川田TECH
1848,富士ピー・エス
1815,鉄建建設
7191,M-イントラスト
5819,カナレ電気
1762,高松G
7575,J-日本ライフL
7248,カルソカンセ
5711,三菱マ
6466,東亜バル
1434,JESCO HD
7462,J-ダイヤ通商
3948,J-光ビジネス
1358,上場日経2倍
6513,オリジン電
9062,日通
1764,工藤建設
3774,IIJ
6165,パンチ
4524,仁丹
5952,アマテイ
2342,M-トランスG
1400,J-ルーデン
8245,丸栄
5189,桜ゴム
9537,北陸瓦斯
2929,M-ファーマF
8098,稲畑産
5352,黒崎播磨
7887,南海プライウッド
6317,北川鉄
1670,MXS三菱
5161,西川ゴム
3652,M-DMP
4218,ニチバン
8217,オークワ
9359,伊勢湾海
6425,J-ユニバーサル
8830,住友不
7562,安楽亭
3647,ジー・スリーHD
6982,リード
8057,内田洋行
8698,マネックスG
6461,日ピストン
9890,J-マキヤ
9616,共立メンテ
9855,くろがや
6292,カワタ
9423,J-フォーバルRS
5458,高砂鉄
9081,神奈中交
8358,スルガ銀
1696,コーンETF
2674,ハードオフ
7244,市光工
8090,昭光通商
8050,セイコーHD
7912,大日印
7743,シード
7625,Gダイニング
3065,J-ライフフーズ
7413,J-創健社
6402,兼松エンジニア
7208,カネミツ
6850,チノー
3424,J-ミヤコ
6722,J-A&T
3093,トレファク
6678,テクノメディカ
6361,荏原製
3140,J-イデアインター
5955,ヤマシナ
4820,EMシステムズ
5852,アーレスティ
7911,凸版印
5408,中山鋼
5233,太平洋セメ
4985,アース製薬
4642,オリジナル設
4628,J-エスケー化研
8159,立花エレ
4246,DNC
3834,朝日ネット
3784,J-ヴィンクス
6158,J-和井田
3131,J-シンデンハイテク
2384,SBSHD
2201,森永菓
6879,イマジカロボットHD
2009,鳥越粉
3385,薬王堂
1968,太平電
5271,トーヨーアサノ
7760,J-IMV
5939,J-大谷工業
3597,自重堂
2321,J-ソフトフロントH
8136,サンリオ
9776,J-札臨
8513,中証金
7294,ヨロズ
7521,J-ムサシ
7417,南陽
6418,日金銭
6269,三井海洋
6339,新東工
6208,石川製
1330,上場225
5212,J-不二硝子
5191,住友理工
4100,戸田工
3121,マーチャント
2877,J-日東ベスト
2483,J-翻訳センター
2284,伊藤ハム
4681,リゾートトラ
8721,VR証券投資法人
7729,東精密
9746,TKC
6237,イワキポンプ
7552,ハピネット
3622,M-ネットイヤー
6444,サンデンHD
4116,大日精化
4334,J-ユークス
4115,本州化
1367,大和TPXダブル
7928,J-旭化学
3001,片倉
2186,J-ソーバル
7907,大日木防
4925,J-HABA
1569,トピックスインバース
8114,デサント
7823,アートネイチャー
2349,J-エヌアイデイ
3954,J-PAXXS
7241,フタバ産
1717,J-明豊ファシリ
2337,いちご
8891,エムジーホーム
9041,近鉄GHD
9369,キユソ流通
7587,PALTEK
4247,ポバール興業
6239,J-ナガオカ
2207,名糖産
2191,J-テラ
1992,J-神田通機
6895,ダイヤモンド電機
3331,J-雑貨屋BL
9987,スズケン
5742,J-NIC
1890,東洋建
9063,岡県運送
5713,住友鉱
7266,今仙電機
9757,船井総研HD
7860,エイベックス
8379,広島銀
4736,J-日本ラッド
6099,エラン
4837,J-シダックス
7455,三城HD
2700,J-木徳神糧
8207,テンアライド
7458,第一興商
6677,J-エスケーエレク
6328,荏原実業
3143,オーウイル
1711,省電舎
3787,M-テクノマセ
2702,J-マクドナルド
2291,福留ハム
1787,J-ナカボーテック
7637,白銅
3778,さくらインターネット
6636,J-SOLHD
6420,福島工業
7820,ニホンフラッシュ
5984,兼房
7442,中山福
4523,エーザイ
9869,加藤産業
3472,R-大江戸温泉
9319,中央倉庫
8108,ヤマエ
8524,北洋銀行
6907,J-ジオマテック
6839,船井電機
5695,J-パウダテック
4775,総合メディ
3409,北日本紡績
3289,東急不HD
8914,M-エリアリンク
7441,Misumi
2915,ケンコーマヨ
5979,カネソウ
2344,J-平安レイ
1720,東急建設
4656,J-サン・ライフ
3923,M-ラクス
8244,近鉄百貨店
7480,スズデン
3607,クラウディア
6430,ダイコク電
1738,NITTOH
7212,エフテック
6177,M-AppBank
7308,ツノダ
4231,タイガーポリ
9830,トラスコ中山
6081,M-アライドアーキ
5210,日山村硝
8303,新生銀
6745,ホーチキ
6972,エルナー
3877,中越パル
6485,前沢給装
6853,共和電
9533,東邦瓦斯
6247,日阪製作
5986,モリテック
5958,三洋工
6439,中日鋳工
1846,鈴縫工
6055,Jマテリアル
8044,大都魚
4814,J-ネクストウェア
9943,J-ココス
9025,鴻池運輸
9364,上組
8999,グランディ
4999,セメダイン
9766,コナミ HD
8056,日ユニシス
8870,住友販売
8804,東建物
8360,山梨中銀
8397,沖縄銀
8088,岩谷産
5337,ダントーHD
7634,J-星医療
3799,キーウェア
7202,いすゞ自
1629,商社卸売
7180,九州FG
6155,高松機械
8103,明和産
5999,J-イハラサイエンス
5707,東邦鉛
5614,川金HD
5912,OSJBHD
4350,メディシス
3454,M-Fブラザーズ
5335,深川磁
6356,日ギア
5162,J-朝日ラバー
4770,図研エルミック
2204,中村屋
3656,KLab
6901,沢藤電
3604,川本産業
2230,P-GOYO
3458,シーアールイー
6721,ウインテスト
8345,岩手銀
3423,J-エスイー
1642,ダイワ電機
2293,J-滝沢ハム
1933,SYSKEN
5974,中国工
4094,日化学産
1699,野村原油
4565,M-SOSEI
9895,J-コンセック
1343,REIT-ETF
7863,J-平賀
9856,ケーユーHD
9810,日鉄住金物産
3064,MRO
5237,ノザワ
7614,J-オーエムツー
8038,東都水
4783,J-日ダイナミク
1737,MESCO
1935,TTK
4696,ワタベ
7467,萩原電気
9896,JKHD
3123,サイボー
9763,丸紅リース
8399,琉球銀
7427,エコーTD
2220,亀田菓
4572,J-カルナバイオ
6495,宮入バル
6507,シンフォニア
9475,昭文社
8922,M-JAM
3195,M-ジェネパ
8396,十八銀
8869,明和地所
2107,洋糖
7937,ツツミ
7919,野崎印
7538,大水
3092,スタートトゥ
6406,フジテック
8542,トマト銀
6379,新興プラン
6300,アピクヤマダ
6156,J-エーワン精密
5715,古河機金
6743,大同信号
5192,三星ベルト
4409,東邦化
4708,りらいあ
9613,NTTデータ
4007,日化成
2899,永谷園HD
4779,ソフトブレーン
2264,森永乳
1826,佐田建
1885,東亜建
1662,石油資源
7249,尾張精機
1458,E-楽天ETF
8051,山善
2918,わらべや
1565,日経カバコ
1936,シーキューブ
6540,船場
5704,M-JMC
6896,北川工
7448,ジンズメイト
4331,T&Gニーズ
3918,PCIHD
1965,テクノ菱和
9902,日伝
9783,ベネッセHD
9729,トーカイ
7508,GセブンHD
3662,エイチーム
9070,トナミHD
4519,中外薬
9034,J-南総通運
8747,J-豊商事
1540,E-三菱UFJ信託
8772,アサックス
8562,福島銀
6938,双信電機
8418,山口FG
8393,宮崎銀
7621,J-うかい
8385,伊予銀
1394,UBS先進国株
4528,小野薬
8337,千葉興銀
4275,カーリットHD
8226,理経
8153,モスフード
2209,井村屋G
8144,電響社
8118,キング
8022,ミズノ
3723,M-ファルコム
7914,共同印
3657,ポールHD
6363,酉島製
7905,大建工
3905,M-データセクション
7885,タカノ
6770,アルプス電
7702,JMS
7416,はるやまHD
6037,M-ファーストロジ
7315,IJTT
3739,コムシード
7273,イクヨ
9845,パーカー
1768,ソネック
7236,ティラド
6384,J-昭和真空
7164,全国保証
9381,エーアイテイー
9402,中部日本放送
8850,スターツ
6779,日電波
6405,J-鈴茂器工
2401,OMソーラー
6998,日タングス
6293,日精樹脂
6250,やまびこ
3466,R-ラサールロジ
5947,リンナイ
3291,飯田GHD
5602,栗本鉄
9867,J-ソレキア
6248,J-横田製作所
2819,エバラ食品工業
5541,大平洋金
5011,ニチレキ
4977,ニッタゼラチン
4540,ツムラ
6584,三桜工
8787,J-UCS
4223,太平化
2907,あじかん
1348,MXSトピクス
3910,J-エムケイシステム
3395,サンマルクHD
3322,J-アルファG
2454,J-オールアバウト
3082,きちり
9361,伏木運
2919,マルタイ
3010,価値開発
2897,日清食HD
2675,ダイナック
2450,一休
1743,コーアツ工業
1382,J-ホーブ
9913,J-日邦産業
3828,ニフティ
7955,クリナップ
4502,武田薬
8367,南都銀
5331,ノリタケ
4636,T&KTOKA
4349,テスク
2814,J-佐藤食品
5983,J-イワブチ
2469,J-ヒビノ
3138,M-富士山マガジン
7647,音通
7599,IDOM
6804,ホシデン
4994,大成ラミック
6203,豊和工
1951,協エクシオ
8938,J-LCHD
2812,焼津水
8563,大東銀
1592,上場JPX日経400
8115,ムーンバット
7898,ウッドワン
7868,広済堂
7609,ダイトロン
2270,雪印メグ
6919,J-ケル
6855,電子材料
6844,新電元
3085,ALサービスHD
6675,サクサ
6171,土木管理総合試験所
6338,タカトリ
5387,J-チヨダウーテ
6287,サトーHD
6176,M-ブランジスタ
6029,M-アトラ
9793,ダイセキ
8074,ユアサ商
9474,ゼンリン
5660,神鋼鋼線
4587,ペプチドリーム
4570,J-免疫生物研究所
4768,大塚商会
3111,オーミケンシ
8228,マルイチ産商
9042,阪急阪神
2206,グリコ
2773,J-ミューチュアル
2475,WDB
2458,J-夢テクノロジー
8836,J-RISE
2435,J-シダー
2195,J-アミタHD
3042,J-セキュアヴェイル
7989,立川ブライ
1981,J-協和日成
1380,J-秋川牧園
8361,大垣銀
7593,VTHD
7895,J-中央化学
8091,ニチモウ
7185,J-ヒロセ通商
9193,東汽船
7822,永大産業
7722,J-国際計測
6957,J-芝浦電子
6894,パルステック
6889,J-オーデリック
1691,ガソリンETF
4963,星光PMC
3350,J-RED
9739,NSW
9048,名鉄
6776,天昇電
3660,アイスタイル
6276,J-ナビタス
6246,テクノスマート
7972,イトーキ
5998,アドバネクス
5902,ホッカンHD
2327,NSSOL
5122,オカモト
5002,昭和シェル
6416,J-桂川電機
4364,マナック
4323,日シス技術
6333,帝国電機
4319,TAC
4064,カーバイド
9643,中日興
4025,多木化学
6835,アライドHD
3945,スパバック
4005,住友化
3856,M-リアルコム
6098,リクルートHD
3372,M-関門海
3939,M-カナミックN
3685,M-みんなのWED
1870,矢作建
1435,M-インベスターズC
7597,J-東京貴宝
6797,名古屋電
1730,J-麻生フオーム
6060,J-こころネット
1925,大和ハウス
7021,ニッチツ
3754,J-エキサイト
9436,J-沖縄セルラー
9849,J-共同紙
6742,京三製
4061,デンカ
5288,アジアパイルHD
3836,J-アバント
6467,J-ニチダイ
3895,J-ハビックス
6630,ヤーマン
7476,アズワン
9699,西尾レントオール
9006,京急
9790,福井コンピ
6670,MCJ
3768,J-リスクモンスター
3107,ダイワボHD
1793,J-大本組
6180,M-GMOメディア
4062,イビデン
1898,世紀東急
8854,日住サービス
6716,J-テクニカル電
3147,J-リック
6322,タクミナ
4559,ゼリア新薬
5994,ファインシンター
4541,日医工
5208,有沢製
6856,堀場製
9704,アゴーラHG
5988,パイオラックス
7917,藤森工業
5009,富士興産
4809,パラカ
6390,加藤製
8584,ジャックス
6026,M-GMOTECH
9984,ソフトバンクグループ
1364,iSJPX日経400
9880,イノテック
3392,デリカフーズ
3386,J-コスモ・バイオ
4187,大有機化
9057,J-遠州トラック
7270,富士重
3023,ラサ商事
4188,三菱ケミHD
5343,ニッコー
8703,KABU.COM
3861,王子HD
7105,ニチユ三菱
7011,三菱重
4281,J-DAC
1306,TOPIX投
4312,サイバネット
3254,プレサンス
1952,新日空調
4220,リケンテクノス
9728,日本管財
8728,M2HD
9476,J-中央経済社HD
8593,三菱Uリース
3571,ソトー
7906,ヨネックス
7947,エフピコ
2653,J-イオン九州
8333,常陽銀
6937,古河電池
6647,森尾電
6927,ヘリオステクノH
5940,不二サッシ
9306,東陽倉
6076,アメイズ
3841,J-ジーダット
5930,文化シヤター
5289,ゼニス羽田
2813,J-和弘食品
3031,M-ラクーン
9967,堺商事
7003,三井造
5446,北越メタル
1788,J-三東工業
9514,FESCO
9405,朝日放送
9432,NTT
9401,TBSHD
9031,西鉄
7775,大研医器
8425,興銀リース
2217,モロゾフ
4241,J-アテクト
1904,J-大成温調
5286,武井工業
9819,スーパ大栄
7938,J-リーガル
4649,大成
7628,オーハシテクニカ
7518,ネットワン
4952,SDSバイオ
7251,ケーヒン
6871,日マイクロニクス
6767,ミツミ電
6291,エアーテック
9769,学究社
6028,テクノプロHD
7957,フジコピアン
5801,古河電工
5741,UACJ
5351,品川リフラ
9681,東京ドーム
4634,洋インキHD
5013,ユシロ化
4337,ぴあ
6618,M-大泉製
6367,ダイキン工
4008,住友精化
3183,ウイン・パートナーズ
2602,日清オイリオ
9435,光通信
2173,J-博展
4839,WOWOW
1811,銭高組
2440,ぐるなび
3209,カネヨウ
6622,ダイヘン
3452,M-ビーロット
8354,ふくおか
3635,コーエーテクモ
7250,太平洋工
6822,J-大井電気
4202,ダイセル
2022,i貴金属
2497,M-UNITED
4734,J-ビーイング
9827,J-リリカラ
4508,田辺三菱
1865,青木あす
5697,サンユウ
8416,高知銀行
9010,富士急
1606,海洋掘削
3224,M-Gオイスター
8032,紙パル商
6902,デンソー
3401,帝人
4517,ビオフェルミン
5380,J-新東
6201,豊田織
4021,日産化
7486,J-サンリン
2145,J-データリンクス
7444,ハリマ共和物産
8994,レキオス
8015,豊田通商
6071,IBJ
7923,J-トーイン
3753,フライト
6368,オルガノ
9355,リンコー
9428,クロップス
4403,日油
7838,共立印刷
2121,M-ミクシィ
6731,ピクセラ
7282,豊田合
7705,GLサイエンス
9857,英和
4927,ポーラオルHD
2667,J-イメージワン
8365,富山銀行
1821,三住建設
9671,よみランド
9067,丸運
8111,ゴルドウイン
7991,マミヤオーピー
7913,図書印
8713,フィデアHD
7703,川澄化工
7817,パラベッド
3420,ケー・エフ・シー
7280,ミツバ
6869,シスメックス
6445,蛇の目
7834,J-マルマン
6436,アマノ
3055,ほくたけ
6417,SANKYO
5358,イソライト工業
5923,高田機工
2402,M-アマナ
9076,セイノーHD
4512,わかもと
8536,東日本銀
4201,日本合
9005,東急
4186,東応化
3857,J-ラック
4107,伊勢化
3947,ダイナパック
3079,DVx
4591,M-リボミック
2611,摂津製油
3633,J-GMOペパボ
7525,リックス
2385,M-総医研
1733,電子システム
1799,J-第一建設
7875,竹田印
5384,FUJIMI
7243,シロキ
8012,長瀬産
8977,R-阪急
3465,ケイアイスター不動産
8125,ワキタ
9479,インプレス
6651,日東工
3920,M-アイビーシー
2049,VIXベアETN
8377,ほくほく
7447,ナガイレーベ
2046,インドブルETN
8423,アクリーティブ
2042,マザーズETN
8364,清水銀
2041,NYダウベアETN
2040,NYダウブルETN
2039,原油ベア
2036,金ブル
3174,J-ハピネス&D
2034,KOSPIベア
6032,インターワークス
3852,サイバーコム
2032,ハンセンベア
1897,金下建設
6709,明星電
4183,三井化学
9878,セキド
4295,フェイス
2905,J-オーケー食品
2117,日新製糖
9351,洋埠頭
3683,サイバーリンクス
6644,大崎電
2037,金ベア
4584,M-GTS
6470,大豊工業
3336,ダッツ
6121,滝澤鉄
5966,京都機械工具
1813,不動テトラ
5992,中央発条
